"SITEYR","Year","StreamName","Northing83","Easting83","Latitude83","Longitude8","Long83","MDE6Digit","MDE6Name","Basin","MDE8Digit","MDE8Name","SHEDNUM","DNR12DIG","CountyName","CountyCode","BIBIStrata","FIBIStrata","DIST","UTM17N_LON","UTM17N_LAT","UTM18N_LAT","UTM18N_LON","AlbersX","AlbersY"
"CE-P-019-210-97",1997,"BASIN RUN",221678.5,473426.2,39.660493405,76.144393769,NA,"021202","Susquehanna River","SQ","02120203","Octoraro Creek","0344","021202030344","Cecil","CE","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1675929.45963,2024753.47573
"CE-P-023-201-97",1997,"BASIN RUN",221045.9,478273.2,39.654373631,76.087990894,NA,"021202","Susquehanna River","SQ","02120203","Octoraro Creek","0344","021202030344","Cecil","CE","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1680849.00453,2024921.54626
"CE-P-078-109-97",1997,"ROCK RUN",218025.3,475768.6,39.627391898,76.117511896,NA,"021202","Susquehanna River","SQ","02120201","L Susquehanna River","0319","021202010319","Cecil","CE","EPIEDMONT","EPIEDMONT",0,0,0,0,0,1678964.99494,2021422.59594
"BA-P-080-314-97",1997,"EBAUGHS CREEK",227156.5,435228.5,39.712215,76.5892,"-76.5892","021202","Susquehanna River","SQ","02120202","Deer Creek","0332","021202020332","Baltimore","BA","EPIEDMONT","EPIEDMONT",16.9189921015,878142,4405110,0,0,1637731.47184,2022553.92748
"BA-P-320-304-97",1997,"HARRIS MILL CREEK",227277.2,434352.2,39.713337,76.599412,"-76.599412","021202","Susquehanna River","SQ","02120202","Deer Creek","0332","021202020332","Baltimore","BA","EPIEDMONT","EPIEDMONT",45.4961590854,877269,4405250,0,0,1636855.82611,2022562.97344
"BROA-101-R-2003",2003,"DEEP CREEK",226177.3,458633.3,39.702133,76.31637,"-76.31637","021202","Susquehanna River","SQ","02120205","Broad Creek","0340","021202050340","Harford","HA","EPIEDMONT","EPIEDMONT",10.9033302471,901618,4405200,0,0,1660677.47773,2026220.60166
"BROA-103-R-2003",2003,"BROAD CREEK",224832.8,453550.5,39.690352,76.375737,"-76.375737","021202","Susquehanna River","SQ","02120205","Broad Creek","0343","021202050343","Harford","HA","EPIEDMONT","EPIEDMONT",14.503813961,896582,4403640,0,0,1655990.8188,2023885.21681
"BROA-104-R-2003",2003,"BROAD CREEK UT3",224713.7,457778.9,39.689009,76.326457,"-76.326457","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",31.8176820489,900844,4403710,0,0,1660145.78231,2024606.17653
"BROA-105-R-2003",2003,"BROAD CREEK UT4",220668.6,462383.4,39.65226,76.273159,"-76.273159","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",14.4566781476,905621,4399860,0,0,1665418.60805,2021491.1775
"BROA-105-R-2008",2008,"BROAD CREEK UT",224274.876015,465716.062553,39.68449,76.23398,"-76.23398","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",6.53271990362,908774,4403610,0,0,1667912.81981,2025707.66256
"BROA-107-R-2003",2003,"BROAD CREEK UT3",225498.8,457200.4,39.696117,76.333134,"-76.333134","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",51.4712280541,900251,4404480,0,0,1659446.3122,2025276.19594
"BROA-116-R-2003",2003,"BROAD CREEK",225345.5,452709.6,39.695021,76.3855,"-76.3855","021202","Susquehanna River","SQ","02120205","Broad Creek","0343","021202050343","Harford","HA","EPIEDMONT","EPIEDMONT",33.4357681032,895716,4404130,0,0,1655066.47246,2024245.67442
"BROA-212-R-2008",2008,"DEEP RUN",225203.002543,463375.054504,39.69303,76.26118,"-76.26118","021202","Susquehanna River","SQ","02120205","Broad Creek","0340","021202050340","Harford","HA","EPIEDMONT","EPIEDMONT",7.2191401115,906389,4404440,0,0,1665452.67536,2026166.58475
"BROA-306-R-2003",2003,"BROAD CREEK",222165.8,456886.2,39.666121,76.337079,"-76.337079","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",28.5305743663,900054,4401130,0,0,1659776.75936,2021914.7389
"BROA-312-R-2003",2003,"BROAD CREEK",223546.3,455519.8,39.678642,76.352888,"-76.352888","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",13.9775806357,898610,4402440,0,0,1658161.19734,2022998.87226
"BROA-314-R-2008",2008,"BROAD CREEK",224658.655292,463648.246877,39.6881,76.25804,"-76.25804","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",8.97887968819,906685,4403900,0,0,1665826.00995,2025681.63472
"BROA-318-R-2003",2003,"BROAD CREEK",224394.2,454248.2,39.686359,76.36764,"-76.36764","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",18.5249081002,897302,4403230,0,0,1656757.64692,2023592.67011
"BROA-319-R-2003",2003,"BROAD CREEK",223056.4,456399.4,39.674173,76.342677,"-76.342677","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",3.81283183104,899515,4401980,0,0,1659117.55236,2022676.65451
"BROA-370-H-2010",2010,"BROAD CREEK",225087.434,464146.315,39.691928,76.252198,"-76.252198","021202","Susquehanna River","SQ","02120205","Broad Creek","0339","021202050339","Harford","HA","EPIEDMONT","EPIEDMONT",6.92964187837,907178,4404350,0,0,1666237.76607,2026198.92012
"CDAM-212-R-2004",2004,"PEDDLER RUN",222102.2,465508.2,39.664942,76.236613,"-76.236613","021202","Susquehanna River","SQ","02120204","Conowingo Dam Susq R","0333","021202040333","Harford","HA","EPIEDMONT","EPIEDMONT",9.5936725338,908679,4401430,0,0,1668162.08353,2023518.03962
"CDAM-371-H-2010",2010,"CONOWINGO CREEK",224505.279,469208.347,39.686297,76.193249,"-76.193249","021202","Susquehanna River","SQ","02120204","Conowingo Dam Susq R","0335","021202040335","Cecil","CE","EPIEDMONT","EPIEDMONT",8.81152778465,912262,4404010,0,0,1671260.89135,2026628.93264
"CE-P-003-312-97",1997,"STONE RUN",226848.7,480075.8,39.706468,76.066298,"-76.066298","021202","Susquehanna River","SQ","02120203","Octoraro Creek","0347","021202030347","Cecil","CE","EPIEDMONT","EPIEDMONT",15.5473966368,923049,4406830,0,0,1681364.20233,2031071.65665
"CE-P-022-301-97",1997,"CONOWINGO CREEK",225237.8,469366.2,39.692881,76.191333,"-76.191333","021202","Susquehanna River","SQ","02120204","Conowingo Dam Susq R","0335","021202040335","Cecil","CE","EPIEDMONT","EPIEDMONT",18.6583232096,912374,4404730,0,0,1671258.11104,2027363.1304
"CE-P-022-319-97",1997,"CONOWINGO CREEK",226543,469326.3,39.704639,76.191664,"-76.191664","021202","Susquehanna River","SQ","02120204","Conowingo Dam Susq R","0335","021202040335","Cecil","CE","EPIEDMONT","EPIEDMONT",29.1281730826,912267,4406030,0,0,1671156.01232,2028700.17431
"CE-P-051-108-97",1997,"SUSQUEHANNA RIVER UT1",219191.4,474931.3,39.637966,76.127134,"-76.127134","021202","Susquehanna River","SQ","02120201","L Susquehanna River","0319","021202010319","Cecil","CE","EPIEDMONT","EPIEDMONT",5.59534086782,918226,4398930,0,0,1677883.20985,2022482.6285
"CE-P-071-305-97",1997,"CONOWINGO CREEK",224576.4,469258,39.686934,76.192663,"-76.192663","021202","Susquehanna River","SQ","02120204","Conowingo Dam Susq R","0335","021202040335","Cecil","CE","EPIEDMONT","EPIEDMONT",33.0148175183,912278,4404070,0,0,1671266.91976,2026692.39117
"CR-P-000-938-97",1997,"CONEWAGO CREEK UT",227881.4,404716.1,39.719444,76.945,"-76.945","020503","Conewago Creek","None","02050301","Conewago Creek","0289","020503010289","Carroll","CR","HIGHLAND","HIGHLAND",32.0379302767,847602,4404520,0,0,1607901.19658,2017306.71229
"CR-P-000-939-97",1997,"CONEWAGO CREEK UT",227541.18,402691.6,39.716389,76.968611,"-76.968611","020503","Conewago Creek","None","02050301","Conewago Creek","0289","020503010289","Carroll","CR","HIGHLAND","HIGHLAND",9.09807707971,845596,4404060,0,0,1606069.5301,2016561.00891
"CR-P-000-940-97",1997,"CONEWAGO CREEK UT",227818.42,401357.67,39.718889,76.984167,"-76.984167","020503","Conewago Creek","None","02050301","Conewago Creek","0289","020503010289","Carroll","CR","HIGHLAND","HIGHLAND",30.4789310561,844250,4404240,0,0,1604812.05729,2016484.33703
"DEER-000-X-2010",2010,"ELBOW BRANCH",216347.282,471019.439,39.61268,76.173,"-76.173","021202","Susquehanna River","SQ","02120202","Deer Creek","0321","021202020321","Harford","HA","EPIEDMONT","EPIEDMONT",8.00838999262,914441,4395910,0,0,1674676.52759,2018888.8829
"DEER-001-X-2010",2010,"DEER CREEK UT",219745.989,454986.845,39.64445,76.35941,"-76.35941","021202","Susquehanna River","SQ","02120202","Deer Creek","0324","021202020324","Harford","HA","EPIEDMONT","EPIEDMONT",37.1914258031,898227,4398570,0,0,1658392.1304,2019087.08418
"DEER-002-X-2010",2010,"LITTLE DEER CREEK UT",219120.761,449297.855,39.63916,76.42573,"-76.42573","021202","Susquehanna River","SQ","02120202","Deer Creek","0327","021202020327","Harford","HA","EPIEDMONT","EPIEDMONT",16.5561209434,892572,4397710,0,0,1652998.44289,2017372.14559
"DEER-003-X-2010",2010,"LITTLE DEER CREEK",221715.321,445386.256,39.66274,76.47112,"-76.47112","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",10.6371971064,888555,4400130,0,0,1648692.05186,2019173.05357
"DEER-004-X-2010",2010,"LITTLE DEER CREEK UT",221650.67,445342.863,39.66216,76.47163,"-76.47163","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",6.4928212347,888508,4400070,0,0,1648654.81455,2019112.89275
"DEER-005-X-2010",2010,"LITTLE DEER CREEK UT",219318.823,444741.717,39.64119,76.47879,"-76.47879","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",6.82813165055,888024,4397710,0,0,1648550.91588,2016688.29849
"DEER-006-X-2010",2010,"LITTLE DEER CREEK UT",220766.088,441815.307,39.65437,76.51279,"-76.51279","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",31.0545454166,885027,4399000,0,0,1645419.41469,2017512.52098
"DEER-007-X-2010",2010,"BIG BRANCH",223566.155,446687.377,39.67934,76.45583,"-76.45583","021202","Susquehanna River","SQ","02120202","Deer Creek","0331","021202020331","Harford","HA","EPIEDMONT","EPIEDMONT",52.5868208198,889744,4402000,0,0,1649561.18388,2021221.98159
"DEER-008-X-2010",2010,"BIG BRANCH",225771.447,445765.891,39.69925,76.46642,"-76.46642","021202","Susquehanna River","SQ","02120202","Deer Creek","0331","021202020331","Harford","HA","EPIEDMONT","EPIEDMONT",50.4230139978,888736,4404170,0,0,1648237.33016,2023220.47987
"DEER-101-A-2011",2011,"DEER CREEK UT",216574.434,469065.46,39.614883,76.195729,"-76.195729","021202","Susquehanna River","SQ","02120202","Deer Creek","0321","021202020321","Harford","HA","EPIEDMONT","EPIEDMONT",10.3524815715,912484,4396050,0,0,1672722.04001,2018740.90549
"DEER-101-R-2001",2001,"DEER CREEK UT5",216574.4,469065.5,39.614883,76.195729,"-76.195729","021202","Susquehanna River","SQ","02120202","Deer Creek","0321","021202020321","Harford","HA","EPIEDMONT","EPIEDMONT",10.3009792257,912484,4396050,0,0,1672722.04001,2018740.90549
"DEER-101-X-2011",2011,"CATTAIL BRANCH UT",218515.066,443039.557,39.634037,76.49867,"-76.49867","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",5.64839843204,886346,4396830,0,0,1647049.54463,2015552.16716
"DEER-102-X-2011",2011,"CATTAIL BRANCH",218528.044,442936.12,39.634159,76.499874,"-76.499874","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",1.20565697529,886245,4396840,0,0,1646948.44833,2015550.02521
"DEER-103-H-2010",2010,"JACKSON BRANCH",222281.24811,439771.740555,39.668112,76.536511,"-76.536511","021202","Susquehanna River","SQ","02120202","Deer Creek","0330","021202020330","Harford","HA","EPIEDMONT","EPIEDMONT",1.53673195052,882911,4400450,0,0,1643123.77051,2018639.35871
"DEER-103-R-2001",2001,"LITTLE DEER CREEK",218528.1,438668,39.63436,76.549589,"-76.549589","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",7.74839936855,881971,4396660,0,0,1642798.97335,2014715.91072
"DEER-103-X-2011",2011,"CATTAIL BRANCH",217787.172,442579.479,39.627504,76.504075,"-76.504075","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",8.71302557426,885914,4396090,0,0,1646743.11116,2014748.10117
"DEER-104-H-2010",2010,"DEER CREEK UT",219072.208745,460916.5586,39.637987,76.290393,"-76.290393","021202","Susquehanna River","SQ","02120202","Deer Creek","0324","021202020324","Harford","HA","EPIEDMONT","EPIEDMONT",6.47132797284,904207,4398180,0,0,1664297.46907,2019613.15451
"DEER-104-X-2005",2005,"DEER CREEK UT8",222111.3,448945.2,39.666113,76.42962,"-76.42962","021202","Susquehanna River","SQ","02120202","Deer Creek","0327","021202020327","Harford","HA","EPIEDMONT","EPIEDMONT",4.31382386929,892101,4400700,0,0,1652176.25091,2020293.82768
"DEER-104-X-2011",2011,"THOMAS RUN UT",215333.503,462180.052,39.604226,76.276021,"-76.276021","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",4.40890114571,905638,4394510,0,0,1666272.08625,2016167.33672
"DEER-105-R-2001",2001,"DEER CREEK UT2",222869.9,441025.8,39.673355,76.52186,"-76.52186","021202","Susquehanna River","SQ","02120202","Deer Creek","0330","021202020330","Harford","HA","EPIEDMONT","EPIEDMONT",43.0652207959,884171,4401130,0,0,1644249.42578,2019504.35141
"DEER-105-X-2005",2005,"STOUT BOTTLE BRANCH RUN UT1",216874,454622,39.618607,76.363893,"-76.363893","021202","Susquehanna River","SQ","02120202","Deer Creek","0325","021202020325","Harford","HA","EPIEDMONT","EPIEDMONT",17.1570615971,898027,4395700,0,0,1658645.11446,2016204.85542
"DEER-105-X-2011",2011,"THOMAS RUN UT",214749.823,461323.225,39.59903,76.28605,"-76.28605","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",6.50776618576,904816,4393890,0,0,1665557.03958,2015469.49259
"DEER-106-H-2010",2010,"STOUT BOTTLE BRANCH UT",216933.437,454821.099,39.61913,76.36157,"-76.36157","021202","Susquehanna River","SQ","02120202","Deer Creek","0325","021202020325","Harford","HA","EPIEDMONT","EPIEDMONT",12.9561494192,898204,4395760,0,0,1658808.01863,2016293.39094
"DEER-106-R-2001",2001,"SOUTH STIRRUP RUN",213618.7,450201.5,39.589555,76.415614,"-76.415614","021202","Susquehanna River","SQ","02120202","Deer Creek","0326","021202020326","Harford","HA","EPIEDMONT","EPIEDMONT",19.1368951486,893729,4392270,0,0,1654979.96484,2012137.6111
"DEER-106-X-2011",2011,"THOMAS RUN UT",214204.971,460965.838,39.594148,76.29026,"-76.29026","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",9.93424804615,904483,4393310,0,0,1665329.27633,2014805.65201
"DEER-107-R-2004",2004,"DEER CREEK UT6",227627.5,438255.5,39.716329,76.553876,"-76.553876","021202","Susquehanna River","SQ","02120202","Deer Creek","0332","021202020332","Harford","HA","EPIEDMONT","EPIEDMONT",4.85784650273,881152,4405740,0,0,1640576.71163,2023631.70478
"DEER-107-X-2005",2005,"TOBACCO RUN UT1",212144.5047,462859.956,39.575456,76.268403,"-76.268403","021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",4.09689518178,906462,4391350,0,0,1667571.45864,2013148.60839
"DEER-107-X-2011",2011,"THOMAS RUN UT",213293.964,460003.831,39.58601,76.30154,"-76.30154","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",10.6463599107,903553,4392360,0,0,1664569.68334,2013713.01835
"DEER-108-X-2011",2011,"THOMAS RUN UT",212343.295,459448.914,39.577486,76.308083,"-76.308083","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",8.25264685545,903044,4391400,0,0,1664222.74424,2012682.48518
"DEER-109-R-2001",2001,"BUCK BRANCH",218620.1,470822.1,39.633165,76.175059,"-76.175059","021202","Susquehanna River","SQ","02120202","Deer Creek","0321","021202020321","Harford","HA","EPIEDMONT","EPIEDMONT",5.85637438908,914139,4398180,0,0,1674006.71854,2021111.15485
"DEER-109-R-2004",2004,"STOUT BOTTLE BRANCH",212785,455135.5,39.581748,76.358248,"-76.358248","021202","Susquehanna River","SQ","02120202","Deer Creek","0325","021202020325","Harford","HA","EPIEDMONT","EPIEDMONT",9.25195843272,898711,4391630,0,0,1659950.87841,2012256.20691
"DEER-109-X-2011",2011,"THOMAS RUN",211904.993,459951.989,39.573504,76.302267,"-76.302267","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",3.15190347719,903565,4390970,0,0,1664798.42414,2012336.33858
"DEER-110-H-2010",2010,"CATTAIL CREEK",219590.886026,443202.669765,39.643718,76.496701,"-76.496701","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",18.0892619382,886475,4397900,0,0,1647007.67962,2016639.77655
"DEER-110-R-2001",2001,"DEER CREEK UT4",217283.6,463905.6,39.621664,76.255746,"-76.255746","021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",38.8784015403,907319,4396550,0,0,1667595.94196,2018453.36751
"DEER-110-X-2005",2005,"HOLLANDS BRANCH",218253.2,466654.2,39.63019,76.223641,"-76.223641","021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",10.7636258803,909978,4397630,0,0,1670025.74463,2019933.29289
"DEER-111-H-2010",2010,"ROCK HOLLOW BRANCH",219702.688412,447046.005923,39.644526,76.45192,"-76.45192","021202","Susquehanna River","SQ","02120202","Deer Creek","0327","021202020327","Harford","HA","EPIEDMONT","EPIEDMONT",5.37090847974,890300,4398200,0,0,1650693.23727,2017530.03036
"DEER-111-X-2011",2011,"ROCK HOLLOW BRANCH",219702.688412,447046.005923,39.644526,76.45192,"-76.45192","021202","Susquehanna River","SQ","02120202","Deer Creek","0327","021202020327","Harford","HA","EPIEDMONT","EPIEDMONT",5.37090847974,890300,4398200,0,0,1650693.23727,2017530.03036
"DEER-112-H-2010",2010,"HOPKINS BRANCH",217846.277,465407.544,39.62662,76.2382,"-76.2382","021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",4.24281460711,908764,4397160,0,0,1668911.31537,2019288.46508
"DEER-112-R-2001",2001,"DEER CREEK UT3",221171,438301.3,39.658179,76.55371,"-76.55371","021202","Susquehanna River","SQ","02120202","Deer Creek","0330","021202020330","Harford","HA","EPIEDMONT","EPIEDMONT",26.4433215552,881493,4399300,0,0,1641916.55167,2017279.84106
"DEER-112-X-2005",2005,"ISLAND BRANCH",226325,441620,39.704444,76.514721,"-76.514721","021202","Susquehanna River","SQ","02120202","Deer Creek","0330","021202020330","Harford","HA","EPIEDMONT","EPIEDMONT",8.57673598587,884572,4404580,0,0,1644101.74145,2023000.13817
"DEER-113-H-2010",2010,"GRAVEYARD CREEK",216059.631363,467162.387339,39.610396,76.217941,"-76.217941","021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",4.28832677765,910595,4395460,0,0,1670967.9896,2017868.95426
"DEER-113-R-2001",2001,"WET STONE BRANCH",219747.4,448559.9,39.644845,76.434281,"-76.434281","021202","Susquehanna River","SQ","02120202","Deer Creek","0327","021202020327","Harford","HA","EPIEDMONT","EPIEDMONT",6.75657459814,891818,4398320,0,0,1652165.72112,2017867.13387
"DEER-113-R-2004",2004,"THOMAS RUN UT1",212293,459902.5,39.577002,76.302808,"-76.302808","021202","Susquehanna River","SQ","02120202","Deer Creek","0323","021202020323","Harford","HA","EPIEDMONT","EPIEDMONT",18.4426574245,903498,4391380,0,0,1664668.824,2012731.43767
"DEER-113-X-2005",2005,"FALLING BRANCH",227252.5,447924.6,39.712472,76.441147,"-76.441147","021202","Susquehanna River","SQ","02120202","Deer Creek","0329","021202020329","Harford","HA","EPIEDMONT","EPIEDMONT",11.3043745725,890845,4405800,0,0,1650043.01981,2025170.48876
"DEER-114-X-2005",2005,"FALLING BRANCH",224404.6,448571.1,39.686788,76.433814,"-76.433814","021202","Susquehanna River","SQ","02120202","Deer Creek","0329","021202020329","Harford","HA","EPIEDMONT","EPIEDMONT",12.5552921923,891616,4402980,0,0,1651238.20524,2022480.54261
"DEER-115-R-2004",2004,"DEER CREEK UT1",218352.2,459730.6,39.631585,76.304272,"-76.304272","021202","Susquehanna River","SQ","02120202","Deer Creek","0324","021202020324","Harford","HA","EPIEDMONT","EPIEDMONT",3.3595215028,903054,4397410,0,0,1663314.73651,2018690.25473
"DEER-115-X-2005",2005,"NORTH STIRRUP RUN",215843.4,449651.6,39.609623,76.421851,"-76.421851","021202","Susquehanna River","SQ","02120202","Deer Creek","0326","021202020326","Harford","HA","EPIEDMONT","EPIEDMONT",7.9541934629,893081,4394450,0,0,1654006.40499,2014205.06677
"DEER-116-X-2005",2005,"SOUTH STIRRUP RUN UT1",214828,451254,39.600385,76.40327,"-76.40327","021202","Susquehanna River","SQ","02120202","Deer Creek","0326","021202020326","Harford","HA","EPIEDMONT","EPIEDMONT",35.8516582102,894759,4393540,0,0,1655788.92306,2013551.95879
"DEER-117-R-2001",2001,"LITTLE DEER CREEK UT2",221154.4,441527.6,39.657881,76.516118,"-76.516118","021202","Susquehanna River","SQ","02120202","Deer Creek","0328","021202020328","Harford","HA","EPIEDMONT","EPIEDMONT",32.1017004983,884747,4399420,0,0,1645080.13901,2017891.24152
"DEER-117-X-2005",2005,"KELLOGG BRANCH",217775.042,448791.4846,39.627069,76.431726,"-76.431726","021202","Susquehanna River","SQ","02120202","Deer Creek","0324","021202020324","Harford","HA","EPIEDMONT","EPIEDMONT",13.6316756274,892151,4396350,0,0,1652798.30413,2015960.76703
"DEER-118-R-2004",2004,"DEER CREEK UT7",223019.5,437859.9,39.674846,76.558749,"-76.558749","021202","Susquehanna River","SQ","02120202","Deer Creek","0330","021202020330","Harford","HA","EPIEDMONT","EPIEDMONT",25.7737458603,880991,4401100,0,0,1641145.39733,2018989.17258
"DEER-118-X-2005",2005,"CABBAGE RUN",214623,454614,39.598335,76.364169,"-76.364169","021202","Susquehanna River","SQ","02120202","Deer Creek","0325","021202020325","Harford","HA","EPIEDMONT","EPIEDMONT",7.03992383914,898097,4393460,0,0,1659095.62823,2013951.35683
"DEER-119-R-2004",2004,"MINE BRANCH UT1",220038.1,455881.4,39.647024,76.348965,"-76.348965","021202","Susquehanna River","SQ","02120202","Deer Creek","0324","021202020324","Harford","HA","EPIEDMONT","EPIEDMONT",10.7663855811,899136,4398940,0,0,1659233.96844,2019598.41839
"DEER-119-X-2005",2005,"GRAVEYARD CREEK",215614,467132,39.606384,76.218339,"-76.218339","021202","Susquehanna River","SQ","02120202","Deer Creek","0322","021202020322","Harford","HA","EPIEDMONT","EPIEDMONT",10.1308251537,910595,4395010,0,0,1671038.78461,2017419.17995
"DEER-120-R-2004",2004,"NORTH STIRRUP RUN UT1",215387.1,449641.4,39.605514,76.422004,"-76.422004","021202","Susquehanna River","SQ","02120202","Deer Creek","0326","021202020326","Harford","HA","EPIEDMONT","EPIEDMONT",16.7014636681,893112,4394000,0,0,1654106.2321,2013761.86768
