FID,FID_CVNWR_,Year,Name,Transect__,Lat,Long,Datum,Slope,Modified,Order_,Embed,Flow_Regim,Dry,Moist,Seep,Pool,Riffle,Run,Substrate,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Silt,Detritus,Clay,Muck,Artificial,Rip_Width,Rip_Widt_1,Land_Use_1,Use_1__,Land_Use_2,Use_2__,Land_Use_3,Use_3__,Disturbanc,DDLat,DDLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,FID_Catchm,Source,FEATUREID,NextDownID,Shape_Leng,Shape_Area,AreaSqKM
10,8,2005,Idleman's Run,1,39.025689999999997,-79.400329999999997,NAD83,15,FALSE,H,80, ,0,20,50,10,20,0, ,5,5,20,70,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.02569000N,079.40033000W,8,62509,0.004442916174030,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
11,16,2006,Idleman's Run,1,39.025689999999997,-79.400329999999997,NAD83,15,FALSE,H,60, ,0,50,0,30,20,0, ,5,20,30,40,5,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.02569000N,079.40033000W,16,62509,0.004442916174030,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
12,1,2004,Idleman's Run,2,39.027110000000000,-79.401809999999998,NAD83,20,FALSE,1,30, ,0,30,20,30,20,0, ,0,10,40,40,5,0,0,5,0,0,0,1,1,mature forest,100, ,0, ,0,past logging activity,39.02711000N,079.40181000W,1,62509,0.002401507712760,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
13,9,2005,Idleman's Run,2,39.027110000000000,-79.401809999999998,NAD83,20,FALSE,1,0, ,0,20,10,30,20,20, ,5,5,10,20,60,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,past logging activity,39.02711000N,079.40181000W,9,62509,0.002401507712760,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
14,17,2006,Idleman's Run,2,39.027110000000000,-79.401809999999998,NAD83,20,FALSE,1,40, ,0,40,0,20,30,10, ,5,20,30,40,0,0,0,5,0,0,0,1,1,mature forest,100, ,0, ,0,past logging activity,39.02711000N,079.40181000W,17,62509,0.002401507712760,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
15,2,2004,Idleman's Run,3,39.037059999999997,-79.416439999999994,NAD83,0,FALSE,2,0, ,0,50,0,40,10,0, ,0,90,5,0,0,0,0,5,0,0,0,2,2,mature forest,60,meadow/marsh,40, ,0,none,39.03706000N,079.41644000W,2,62509,0.000139814846813,-79.416522220199994,39.036946915800002,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
16,10,2005,Idleman's Run,3,39.037059999999997,-79.416439999999994,NAD83,0,FALSE,2,30, ,0,50,0,30,20,0, ,0,90,5,0,0,0,0,5,0,0,0,2,2,mature forest,60,meadow/marsh,40, ,0,none,39.03706000N,079.41644000W,10,62509,0.000139814846813,-79.416522220199994,39.036946915800002,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
17,18,2006,Idleman's Run,3,39.037059999999997,-79.416439999999994,NAD83,2,FALSE,2,30, ,15,10,0,15,30,30, ,10,10,50,25,0,0,0,5,0,0,0,2,2,mature forest,60,meadow/marsh,40, ,0,none,39.03706000N,079.41644000W,18,62509,0.000139814846813,-79.416522220199994,39.036946915800002,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
18,4,2004,Cortland,2,39.086280000000002,-79.440719999999999,NAD83,4,TRUE,1,50, ,0,80,0,0,20,0, ,10,15,20,10,0,0,30,15,0,0,0,1,1,mature forest,100, ,0, ,0,new culvert put in up slope ~100m. Silt fences in place. Trash & debris present,39.08628000N,079.44072000W,4,61561,0.002869461001670,-79.438655885900005,39.084286701400003,61520,Delineation,205399857.000000000000000,205400057.000000000000000,7800.000000000000000,2254500.000000000000000,2.254500000000000
19,12,2005,Cortland,2,39.086280000000002,-79.440719999999999,NAD83,4,TRUE,1,50, ,0,60,30,0,10,0, ,5,40,50,5,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,siltation & old silt fences; culvert replaced two years ago ~100m up slope,39.08628000N,079.44072000W,12,61561,0.002869461001670,-79.438655885900005,39.084286701400003,61520,Delineation,205399857.000000000000000,205400057.000000000000000,7800.000000000000000,2254500.000000000000000,2.254500000000000
20,20,2006,Cortland,2,39.086280000000002,-79.440719999999999,NAD83,4,TRUE,1,0, ,10,20,0,0,35,35, ,0,30,30,20,0,0,0,20,0,0,0,1,1,mature forest,100, ,0, ,0,culvert replaced 3 years ago ~100m up slope,39.08628000N,079.44072000W,20,61561,0.002869461001670,-79.438655885900005,39.084286701400003,61520,Delineation,205399857.000000000000000,205400057.000000000000000,7800.000000000000000,2254500.000000000000000,2.254500000000000
21,3,2004,Camp 70-Yellow Creek,0,39.136920000000003,-79.405109999999993,NAD83,10,FALSE,1,20, ,0,40,0,0,60,0, ,20,25,10,42,3,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.13692000N,079.40511000W,3,60393,0.002023307882120,-79.404887864200006,39.134908923099999,60387,Delineation,205398689.000000000000000,205398681.000000000000000,9900.000000010000804,3506400.000000000000000,3.506400000000000
22,11,2005,Camp 70-Yellow Creek,0,39.136920000000003,-79.405109999999993,NAD83,10,FALSE,1,20, ,0,40,0,10,50,0, ,10,10,60,20,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.13692000N,079.40511000W,11,60393,0.002023307882120,-79.404887864200006,39.134908923099999,60387,Delineation,205398689.000000000000000,205398681.000000000000000,9900.000000010000804,3506400.000000000000000,3.506400000000000
23,19,2006,Camp 70-Yellow Creek,0,39.136920000000003,-79.405109999999993,NAD83,10,FALSE,1,20, ,0,10,0,0,45,45, ,25,25,25,25,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.13692000N,079.40511000W,19,60393,0.002023307882120,-79.404887864200006,39.134908923099999,60387,Delineation,205398689.000000000000000,205398681.000000000000000,9900.000000010000804,3506400.000000000000000,3.506400000000000
