FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
26,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/13/2006 0:00:00,5,NULL,NULL,NULL,NULL,NULL,2.1,2.9,2.3,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,87,10,1,4,49,73,62,N,N,NULL,NULL,NULL,19.4,14.2,38 59.66452708N 076 45.51986916W,26,103245,0.006631400723210,-76.762356021599999,38.999917690300002
27,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/17/2006 0:00:00,6,NULL,NULL,NULL,NULL,NULL,2,5.5,2,Y,NULL,33,13,NULL,11,NULL,NULL,NULL,43,0,6,9,77,37,33,N,N,5.78,62,NULL,29,16.9,38 59.66452708N 076 45.51986916W,27,103245,0.006631400723210,-76.762356021599999,38.999917690300002
28,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/5/2007 0:00:00,7,NULL,NULL,NULL,NULL,NULL,1,1,1.5,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,14,1,0,140,400,60,N,N,7,51,NULL,24.6,15.1,38 59.66452708N 076 45.51986916W,28,103245,0.006631400723210,-76.762356021599999,38.999917690300002
29,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/11/2007 0:00:00,8,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,0,0,0,0,0,0,N,N,6.32,147,NULL,24.3,23,38 59.66452708N 076 45.51986916W,29,103245,0.006631400723210,-76.762356021599999,38.999917690300002
30,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/2/2008 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,NULL,NULL,38 59.66452708N 076 45.51986916W,30,103245,0.006631400723210,-76.762356021599999,38.999917690300002
31,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/1/2008 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,0,0,0,0,0,0,N,N,6.02,132,NULL,23.4,19.7,38 59.66452708N 076 45.51986916W,31,103245,0.006631400723210,-76.762356021599999,38.999917690300002
32,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,N,N,6.07,60,NULL,22.6,16.3,38 59.66452708N 076 45.51986916W,32,103245,0.006631400723210,-76.762356021599999,38.999917690300002
33,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/3/2009 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0.5,10,1,Y,NULL,3,9,5,NULL,NULL,NULL,NULL,83,0,11,4,92,15,17,N,N,5.75,130,NULL,NULL,16.8,38 59.66452708N 076 45.51986916W,33,103245,0.006631400723210,-76.762356021599999,38.999917690300002
34,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/4/2010 0:00:00,1,NULL,NULL,NULL,NULL,NULL,3.5,2,2,Y,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,2,13,102,95,135,N,N,7.52,-99,NULL,25.6,16,38 59.66452708N 076 45.51986916W,34,103245,0.006631400723210,-76.762356021599999,38.999917690300002
35,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/6/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,3,NULL,NULL,NULL,0,0,0,N,N,NULL,-99,NULL,NULL,NULL,38 59.66452708N 076 45.51986916W,35,103245,0.006631400723210,-76.762356021599999,38.999917690300002
36,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/22/2011 0:00:00,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,36,1,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL,NULL,38 59.66452708N 076 45.51986916W,36,103245,0.006631400723210,-76.762356021599999,38.999917690300002
37,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/27/2011 0:00:00,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,28.3,NULL,38 59.66452708N 076 45.51986916W,37,103245,0.006631400723210,-76.762356021599999,38.999917690300002
38,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/22/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,26.5,NULL,38 59.66452708N 076 45.51986916W,38,103245,0.006631400723210,-76.762356021599999,38.999917690300002
39,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/25/2012 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,27.8,NULL,38 59.66452708N 076 45.51986916W,39,103245,0.006631400723210,-76.762356021599999,38.999917690300002
40,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/28/2013 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,22.6,NULL,38 59.66452708N 076 45.51986916W,40,103245,0.006631400723210,-76.762356021599999,38.999917690300002
41,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/25/2013 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,N,NULL,NULL,NULL,17.8,NULL,38 59.66452708N 076 45.51986916W,41,103245,0.006631400723210,-76.762356021599999,38.999917690300002
42,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/22/2014 0:00:00,1,NULL,NULL,NULL,NULL,NULL,1.8,2.7,1.9,Y,17,15,9,3,12,NULL,NULL,NULL,44,0,4,6,70,200,60,N,N,6.1,75,NULL,22.4,18.1,38 59.66452708N 076 45.51986916W,42,103245,0.006631400723210,-76.762356021599999,38.999917690300002
43,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,8/7/2014 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1.5,2.5,1,Y,62,1,1,1,8,NULL,NULL,1,26,0,5,6,75,120,35,N,N,7.6,65,NULL,23,18.3,38 59.66452708N 076 45.51986916W,43,103245,0.006631400723210,-76.762356021599999,38.999917690300002
44,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/30/2015 0:00:00,1,NULL,NULL,NULL,NULL,NULL,27,31,79,Y,19,1,2,1,1,6,NULL,NULL,9,4,1,8,144,286,91,N,Y,6.9,71,NULL,24.6,16.3,38 59.66452708N 076 45.51986916W,44,103245,0.006631400723210,-76.762356021599999,38.999917690300002
45,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,6/21/2016 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.1,1.8,1.9,Y,NULL,3,1,2,NULL,NULL,NULL,NULL,86,1,11,3,43,21,35,N,N,6.7,75,NULL,21.4,21.8,38 59.66452708N 076 45.51986916W,45,103245,0.006631400723210,-76.762356021599999,38.999917690300002
46,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/26/2016 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-99,-99,-99,0,0,0,N,N,NULL,NULL,NULL,32.4,-99,38 59.66452708N 076 45.51986916W,46,103245,0.006631400723210,-76.762356021599999,38.999917690300002
47,C & O Canal National Historic Park,COST21-2,38.994416600000001,-76.758666700000006,15m,7/27/2017 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,26.6,-99,38 59.66452708N 076 45.51986916W,47,103245,0.006631400723210,-76.762356021599999,38.999917690300002
48,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/5/2005 0:00:00,1,NULL,NULL,NULL,NULL,NULL,3,3,3.5,Y,33,16,4,NULL,33,7,NULL,NULL,7,1,4,10,97,105,31,N,U,7.14,93,NULL,25.1,17.7,38 14.63120623N 076 45.37819988W,48,153878,0.002324540937770,-76.756947805400003,38.241620021999999
49,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/29/2005 0:00:00,2,NULL,NULL,NULL,NULL,NULL,4,6,3,Y,27,20,1,15,21,12,NULL,NULL,4,2,3,10,32,105,75,N,Y,6.94,60,NULL,21.6,18.1,38 14.63120623N 076 45.37819988W,49,153878,0.002324540937770,-76.756947805400003,38.241620021999999
50,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/13/2006 0:00:00,5,NULL,NULL,NULL,NULL,NULL,1.5,0.9,1,Y,NULL,41,37,3,19,NULL,NULL,NULL,NULL,0,1,14,113,59,150,N,Y,6.6,55,NULL,20.4,14.3,38 14.63120623N 076 45.37819988W,50,153878,0.002324540937770,-76.756947805400003,38.241620021999999
51,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/17/2006 0:00:00,6,NULL,NULL,NULL,NULL,NULL,NULL,5,3,Y,NULL,60,NULL,11,21,1,NULL,NULL,7,1,13,1,NULL,40,115,N,Y,7.12,52,NULL,23.8,17.8,38 14.63120623N 076 45.37819988W,51,153878,0.002324540937770,-76.756947805400003,38.241620021999999
52,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/5/2007 0:00:00,7,NULL,NULL,NULL,NULL,NULL,0.9,2.9,3,Y,NULL,11,9,NULL,29,NULL,NULL,NULL,51,2,0,13,85,112,135,N,Y,7,51,NULL,24.6,15.1,38 14.63120623N 076 45.37819988W,52,153878,0.002324540937770,-76.756947805400003,38.241620021999999
53,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/11/2007 0:00:00,8,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,4,1,1,NULL,NULL,NULL,NULL,94,0,0,0,0,0,0,N,N,6.09,111,NULL,25.9,19.3,38 14.63120623N 076 45.37819988W,53,153878,0.002324540937770,-76.756947805400003,38.241620021999999
54,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/2/2008 0:00:00,1,NULL,NULL,NULL,NULL,NULL,4,2,1.5,Y,NULL,7,35,5,11,NULL,NULL,NULL,4,5,1,6,62,28,8,N,N,6.08,189,NULL,25.8,15.9,38 14.63120623N 076 45.37819988W,54,153878,0.002324540937770,-76.756947805400003,38.241620021999999
55,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/1/2008 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1.3,1.4,1.8,Y,13,16,33,NULL,19,NULL,NULL,NULL,19,3,5,7,66,82,82,N,Y,5.79,52,NULL,23.2,16.4,38 14.63120623N 076 45.37819988W,55,153878,0.002324540937770,-76.756947805400003,38.241620021999999
56,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/3/2009 0:00:00,1,NULL,NULL,NULL,NULL,NULL,6,5,4,Y,13,NULL,NULL,8,23,NULL,NULL,NULL,51,14,0,1,48,63,55,N,Y,6.07,60,NULL,22.6,16.3,38 14.63120623N 076 45.37819988W,56,153878,0.002324540937770,-76.756947805400003,38.241620021999999
57,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/3/2009 0:00:00,2,NULL,NULL,NULL,NULL,NULL,4,0,0,Y,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,64,0,0,N,N,16.8,130,NULL,NULL,16.8,38 14.63120623N 076 45.37819988W,57,153878,0.002324540937770,-76.756947805400003,38.241620021999999
58,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/4/2010 0:00:00,1,NULL,NULL,NULL,NULL,NULL,2.5,1,3,Y,40,NULL,NULL,NULL,32,NULL,NULL,NULL,28,3,2,10,56,88,110,N,Y,6,-99,NULL,25.6,19.8,38 14.63120623N 076 45.37819988W,58,153878,0.002324540937770,-76.756947805400003,38.241620021999999
59,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/6/2010 0:00:00,2,NULL,NULL,NULL,NULL,NULL,1.5,1,1,Y,24,3,27,4,NULL,19,NULL,NULL,23,1,4,10,54,88,214,N,Y,NULL,-99,NULL,32.7,16.9,38 14.63120623N 076 45.37819988W,59,153878,0.002324540937770,-76.756947805400003,38.241620021999999
60,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/22/2011 0:00:00,1,NULL,NULL,NULL,NULL,NULL,3.2,1.5,1.5,Y,23,11,4,NULL,23,NULL,NULL,NULL,16,2,9,2,38,103,62,N,Y,7.2,67,NULL,NULL,14.1,38 14.63120623N 076 45.37819988W,60,153878,0.002324540937770,-76.756947805400003,38.241620021999999
61,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/27/2011 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0.5,Y,NULL,3,3,NULL,25,3,NULL,NULL,NULL,0,2,4,0,0,83,N,Y,7.6,65,NULL,NULL,18.2,38 14.63120623N 076 45.37819988W,61,153878,0.002324540937770,-76.756947805400003,38.241620021999999
62,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/22/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,11.5,2.5,7,Y,32,8,7,8,24,NULL,NULL,NULL,21,6,4,2,105,30,128,N,Y,7,67,NULL,26.9,14.9,38 14.63120623N 076 45.37819988W,62,153878,0.002324540937770,-76.756947805400003,38.241620021999999
63,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/25/2012 0:00:00,2,NULL,NULL,NULL,NULL,NULL,10,1,5,Y,29,NULL,1,3,NULL,16,NULL,NULL,51,6,6,0,45,21,85,N,N,7,68,NULL,27.8,16,38 14.63120623N 076 45.37819988W,63,153878,0.002324540937770,-76.756947805400003,38.241620021999999
64,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,6/28/2013 0:00:00,1,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,N,N,NULL,NULL,NULL,23.3,NULL,38 14.63120623N 076 45.37819988W,64,153878,0.002324540937770,-76.756947805400003,38.241620021999999
65,C & O Canal National Historic Park,COST21-3,38.243861099999997,-76.756305499999996,15m,7/25/2013 0:00:00,2,NULL,NULL,NULL,NULL,NULL,0,0,0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,N,N,NULL,NULL,NULL,17.9,NULL,38 14.63120623N 076 45.37819988W,65,153878,0.002324540937770,-76.756947805400003,38.241620021999999
