Site,Date,#,Location,Substrate,Pass,Species,Age,SV,TL,Notes
PRC2E,6/4/12,27,14,W,3,DFUS,J,19,39,
JRC1DS,6/5/12,1,5,W,1,DFUS,J,17,30,
JRC1DS,6/5/12,2,17,W,1,DMON,A,58,130,
JRC1DS,6/5/12,3,13,W,1,EBIS,L,22,52,
JRC1DS,6/5/12,4,5,W,1,DFUS,A,46,105,
JRC1DS,6/5/12,5,2,W,1,DMON,J,22,42,
JRC1DS,6/5/12,6,2,W,1,DMON,A,48,121,
JRC1DS,6/5/12,7,8,W,1,EBIS,L,25,49,
JRC1DS,6/5/12,8,10,W,1,DMON,A,46,118,
JRC1DS,6/5/12,9,3,W,1,EBIS,L,18,32,
JRC1DS,6/5/12,10,11,W,1,DMON,J,16,37,
JRC1DS,6/5/12,11,18,W,1,EBIS,L,24,47,
JRC1DS,6/5/12,12,20,W,3,DMON,J,22,44,
JRC1DS,6/5/12,13,11,W,1,DMON,A,50,122,
JRC1DS,6/5/12,14,1,W,3,DMON,J,16,39,"Dark toes / 5 pairs spots on back, spots 1/2 down tail"
JRC1DS,6/5/12,15,1,W,3,EBIS,A,34,85,
JRC1DS,6/5/12,16,5,W,3,EBIS,L,29,56,
JRC1DS,6/5/12,17,6,W,3,DMON,A,44,97,
JRC1DS,6/5/12,18,18,W,3,DFUS,J,18,38,
JRC1DS,6/5/12,19,10,W,3,DFUS,J,19,38,
JRC1DS,6/5/12,20,10,W,3,DFUS,J,16,34,
JRC1DS,6/5/12,21,1,W,3,DMON,J,12,35,
JRC1DS,6/5/12,22,6,W,3,DFUS,J,19,35,
JRC1DS,6/5/12,23,9,W,2,EBIS,L,22,43,
JRC1DS,6/5/12,24,10,W,3,DMON,A,34,73,
JRC1DS,6/5/12,25,21,W,2,EBIS,L,26,52,
JRC1DS,6/5/12,26,11,W,2,EBIS,A,31,71,
JRC1DS,6/5/12,27,13,W,2,EBIS,L,23,43,
JRC1DS,6/5/12,28,6,W,3,EBIS,L,16,39,
JRC1DS,6/5/12,29,19,W,2,DMON,J,16,38,
JRC1DS,6/5/12,30,10,W,2,DMON,A,50,104,
JRC1DS,6/5/12,31,1,W,2,EBIS,L,18,41,
JRC1DS,6/5/12,32,1,W,2,EBIS,L,24,32,
JRC1DS,6/5/12,33,1,W,2,EBIS,L,21,43,
JRC1DS,6/5/12,34,5,W,2,EBIS,L,16,49,
JRC1DS,6/5/12,35,21,W,2,DFUS,J,16,36,
JRC1DS,6/5/12,36,1,W,2,EBIS,L,20,36,
JRC1DS,6/5/12,37,21,W,2,DFUS,J,18,45,
PRC1WL,6/6/12,1,2,W,1,DMON,A,46,112,
PRC1WL,6/6/12,2,1,W,1,EBIS,L,21,44,
PRC1WL,6/6/12,3,2,W,1,EBIS,L,15,32,
PRC1WL,6/6/12,4,2,W,1,EBIS,L,27,60,
PRC1WL,6/6/12,5,1,W,1,EBIS,L,20,49,
PRC1WL,6/6/12,6,2,W,1,EBIS,L,28,55,
PRC1WL,6/6/12,7,2,W,1,EBIS,L,26,47,
PRC1WL,6/6/12,8,1,W,2,GPOR,L,49,81,
PRC1WL,6/6/12,9,15,W,2,DFUS,L,15,24,
PRC1WL,6/6/12,10,17,W,2,DMON,A,40,75,
PRC1WL,6/6/12,11,17,W,2,GPOR,L,35,62,
PRC1WL,6/6/12,12,15,W,2,EBIS,L,16,34,
PRC1WL,6/6/12,13,15,W,2,EBIS,L,24,51,
PRC1WL,6/6/12,14,16,W,2,DMON,A,54,85,
PRC1WL,6/6/12,15,17,W,2,DFUS,L,16,28,
PRC1WL,6/6/12,16,16,W,3,DMON,A,50,109,
PRC1WL,6/6/12,17,5,W,3,GPOR,L,58,104,
PRC1WL,6/6/12,18,10,B,3,DMON,A,44,96,Missing toes
PRC1WL,6/6/12,19,2,W,3,EBIS,L,26,52,
PRC1WL,6/6/12,20,5,W,3,DMON,L,14,29,
PRC1WL,6/6/12,21,6,W,3,EBIS,A,30,68,
PRC1WL,6/6/12,22,5,W,3,DMON,L,13,27,
RRC1DS,6/6/12,1,2,W,1,EBIS,L,15,27,
RRC1DS,6/6/12,2,1,W,1,EBIS,L,18,35,
RRC1DS,6/6/12,3,1,W,1,EBIS,L,16,28,
RRC1DS,6/6/12,4,1,W,1,EBIS,L,22,53,
RRC1DS,6/6/12,5,2,W,1,EBIS,L,18,33,
RRC1DS,6/6/12,6,1,W,1,EBIS,L,17,32,
RRC1DS,6/6/12,7,1,W,1,EBIS,L,24,48,
RRC1DS,6/6/12,8,2,W,1,EBIS,L,23,46,
RRC1DS,6/6/12,9,2,W,1,EBIS,L,18,38,
RRC1DS,6/6/12,10,1,W,1,EBIS,L,21,42,
RRC1DS,6/6/12,11,1,W,1,GPOR,L,50,90,
RRC1DS,6/6/12,12,10,W,1,DMON,A,55,119,
RRC1DS,6/6/12,13,10,W,1,DMON,A,51,94,
RRC1DS,6/6/12,14,10,W,1,EBIS,L,22,42,
RRC1DS,6/6/12,15,18,W,1,DMON,J,17,28,
RRC1DS,6/6/12,16,18,W,1,DFUS,J,21,28,
RRC1DS,6/6/12,17,14,W,1,DMON,J,29,55,
RRC1DS,6/6/12,18,13,W,1,DMON,J,36,72,
RRC1DS,6/6/12,19,15,W,1,EBIS,L,18,25,
RRC1DS,6/6/12,20,11,W,1,DMON,J,37,74,
RRC1DS,6/6/12,21,10,W,1,EBIS,L,19,33,
RRC1DS,6/6/12,22,10,W,1,EBIS,L,21,38,
RRC1DS,6/6/12,23,10,W,1,EBIS,L,28,49,Missing tail tip
RRC1DS,6/6/12,24,1,W,2,EBIS,L,22,44,
RRC1DS,6/6/12,25,1,W,2,EBIS,L,18,32,
RRC1DS,6/6/12,26,2,W,2,EBIS,L,24,47,
RRC1DS,6/6/12,27,2,W,2,EBIS,L,21,33,Missing tail tip
RRC1DS,6/6/12,28,2,W,2,EBIS,L,26,51,
RRC1DS,6/6/12,29,2,W,2,EBIS,L,26,52,
RRC1DS,6/6/12,30,1,W,2,EBIS,L,21,40,
RRC1DS,6/6/12,31,11,B,2,DMON,J,38,79,Adult?
RRC1DS,6/6/12,32,11,B,2,DMON,A,44,84,
RRC1DS,6/6/12,33,13,B,2,DFUS,J,21,37,
RRC1DS,6/6/12,34,17,W,3,DMON,A,35,81,
RRC1DS,6/6/12,35,18,W,3,DMON,A,24,50,
RRC1DS,6/6/12,36,11,W,3,DMON,L,14,29,
RRC1DS,6/6/12,37,10,W,3,DMON,J,20,41,
RRC1DS,6/6/12,38,10,W,2,EBIS,L,24,44,
RRC1DS,6/6/12,39,13,W,2,DMON,J,18,33,
RRC1DS,6/6/12,40,11,W,2,DMON,J,28,63,
RRC1DS,6/6/12,41,10,W,2,EBIS,L,23,47,
RRC1DS,6/6/12,42,10,W,2,EBIS,L,16,30,
RRC1DS,6/6/12,43,1,W,3,EBIS,L,22,40,
RRC1DS,6/6/12,44,1,W,3,EBIS,L,21,40,
RRC1DS,6/6/12,45,1,W,3,GPOR,L,41,54,Missing tail
RRC1DS,6/6/12,46,1,W,3,EBIS,L,24,47,
RRC1DS,6/6/12,47,2,W,3,EBIS,L,22,43,
RRC1DS,6/6/12,48,2,W,3,EBIS,L,26,55,
RRC1DS,6/6/12,49,1,W,3,GPOR,L,48,83,
RRC1DS,6/6/12,50,3,W,3,EBIS,L,25,47,
RRC1DS,6/6/12,51,3,W,3,EBIS,L,27,52,
RRC1DS,6/6/12,52,3,W,3,EBIS,L,21,48,
RRC1DS,6/6/12,53,3,W,3,EBIS,L,28,57,
RRC1DS,6/6/12,54,3,B,3,EBIS,A,30,63,Or Juv?
RRC1DS,6/6/12,55,2,W,3,EBIS,L,15,35,
RRC1DS,6/6/12,56,2,W,3,EBIS,L,21,41,
NCC1W1,6/7/12,1,2,W,2,EBIS,L,17,33,
NCC1W1,6/7/12,2,1,W,2,EBIS,L,17,33,
NCC1W1,6/7/12,3,16,W,1,DMON,J,23,58,
NCC1W1,6/7/12,4,15,W,1,DMON,A,42,78,
NCC1W1,6/7/12,5,11,W,2,GPOR,L,52,104,
NCC1W1,6/7/12,6,11,W,2,EBIS,L,22,40,
NCC1W1,6/7/12,7,12,W,1,GPOR,L,58,102,
NCC1W1,6/7/12,8,13,W,1,GPOR,L,40,70,
NCC1W1,6/7/12,9,11,W,3,GPOR,L,50,87,
NCC1U2,6/7/12,1,19,W,1,GPOR,L,63,113,
NCC1U2,6/7/12,2,19,W,1,EBIS,L,25,45,
NCC1U2,6/7/12,3,4,W,1,DMON,A,50,97,
NCC1U2,6/7/12,4,4,W,1,DMON,J,20,39,
NCC1U2,6/7/12,5,4,W,1,DMON,A,44,71,Missing tail tip
NCC1U2,6/7/12,6,4,W,1,DMON,A,36,50,Missing tail tip
NCC1U2,6/7/12,7,4,W,1,EBIS,L,24,47,
NCC1U2,6/7/12,8,7,W,1,EBIS,A,42,79,
NCC1U2,6/7/12,9,8,W,2,DMON,J,40,61,
NCC1U2,6/7/12,10,14,W,2,DMON,J,30,54,
NCC1U2,6/7/12,11,16,W,2,DMON,J,24,47,
NCC1U2,6/7/12,12,13,W,2,GPOR,L,40,66,
NCC1U2,6/7/12,13,13,B,2,DFUS,J,18,33,
NCC1U2,6/7/12,14,19,W,2,EBIS,L,25,49,
NCC1U2,6/7/12,15,16,W,3,DMON,A,36,78,
NCC1U2,6/7/12,16,14,W,3,DMON,L,15,28,
NCC1U2,6/7/12,17,14,W,3,EBIS,L,27,55,
NCC1U2,6/7/12,18,16,W,3,DMON,J,14,29,
NCC1U2,6/7/12,19,4,W,3,DMON,J,22,50,
NCC1U2,6/7/12,20,4,W,3,DMON,A,54,95,
NCC1U2,6/7/12,21,4,W,3,DMON,J,34,61,
NCC1U2,6/7/12,22,5,W,3,DMON,A,52,121,
NCC1U2,6/7/12,23,4,W,3,DMON,A,51,118,3 legs
NCC1U2,6/7/12,24,4,W,3,DMON,J,36,69,
HRC2EL,6/11/12,1,12,W,1,DFUS,J,16,30,
HRC2EL,6/11/12,2,13,W,1,DMON,A,60,111,
HRC2EL,6/11/12,3,16,W,1,DMON,J,13,27,
HRC2EL,6/11/12,4,6,W,2,EBIS,L,20,39,
HRC2EL,6/11/12,5,7,W,2,EBIS,L,17,30,
HRC2EL,6/11/12,6,5,W,2,EBIS,L,26,52,
HRC2EL,6/11/12,7,6,W,2,EBIS,L,17,32,
HRC2EL,6/11/12,8,17,W,1,DMON,A,36,72,
HRC2EL,6/11/12,9,7,W,1,EBIS,L,20,38,
HRC2EL,6/11/12,10,1,W,2,GPOR,L,50,88,
HRC2EL,6/11/12,11,1,W,2,DMON,J,15,23,Tail tip broke off
HRC2EL,6/11/12,12,1,W,1,GPOR,L,43,75,
HRC2EL,6/11/12,13,7,W,1,EBIS,L,21,40,
HRC2EL,6/11/12,14,16,W,1,DFUS,J,15,27,
HRC2EL,6/11/12,15,17,W,2,DMON,J,26,43,
HRC2EL,6/11/12,16,5,W,2,EBIS,L,22,44,
HRC2EL,6/11/12,17,7,W,1,EBIS,L,21,40,
HRC2EL,6/11/12,18,5,W,1,EBIS,L,20,40,
HRC2EL,6/11/12,19,13,W,3,EBIS,L,16,26,
HRC2EL,6/11/12,20,15,W,3,EBIS,A,38,80,
HRC2EL,6/11/12,21,15,W,3,DMON,A,42,73,
HRC2EL,6/11/12,22,13,W,3,EBIS,A,31,66,
HRC2EL,6/11/12,23,17,W,3,EBIS,L,19,38,
HRC2EL,6/11/12,24,21,W,3,DMON,J,16,31,
HRC2EL,6/11/12,25,6,W,3,GPOR,L,53,92,
HRC2EL,6/11/12,26,7,W,3,EBIS,L,15,28,
HRC2EL,6/11/12,27,7,W,3,EBIS,L,18,35,
HRC2EL,6/11/12,28,7,W,3,EBIS,L,17,31,
HRC2EL,6/11/12,29,4,W,3,EBIS,L,17,33,
HRC2EL,6/11/12,30,6,W,3,DMON,J,15,27,
HRC2EL,6/11/12,31,7,W,3,EBIS,L,14,26,
HRC2EU,6/11/12,1,1,W,1,EBIS,J,27,55,
HRC2EU,6/11/12,2,20,W,1,DFUS,J,15,22,
HRC2EU,6/11/12,3,19,W,1,EBIS,L,27,50,
HRC2EU,6/11/12,4,3,W,1,EBIS,L,22,44,
HRC2EU,6/11/12,5,1,W,1,DFUS,A,51,106,
HRC2EU,6/11/12,6,3,W,2,DMON,J,23,51,
HRC2EU,6/11/12,7,4,W,1,EBIS,L,29,65,
HRC2EU,6/11/12,8,3,W,2,EBIS,L,17,34,
HRC2EU,6/11/12,9,3,W,2,EBIS,L,24,46,
HRC2EU,6/11/12,10,5,W,2,EBIS,L,25,50,
HRC2EU,6/11/12,11,15,W,2,EBIS,L,28,56,
HRC2EU,6/11/12,12,11,W,1,EBIS,L,22,42,
HRC2EU,6/11/12,13,11,W,3,DFUS,J,16,29,
HRC2EU,6/11/12,14,3,W,3,EBIS,L,24,29,Tail missing
HRC2EU,6/11/12,15,3,W,3,EBIS,A,32,61,
HRC2EU,6/11/12,16,3,W,3,EBIS,L,20,38,
HRC2EU,6/11/12,17,18,W,2,EBIS,L,26,52,
HRC2EU,6/11/12,18,4,W,3,EBIS,L,24,50,
HRC2EU,6/11/12,19,4,W,3,EBIS,L,17,34,
HRC2EU,6/11/12,20,18,W,3,EBIS,L,22,44,
PARC1SL,6/12/12,1,16,W,1,DMON,J,16,26,
PARC1SL,6/12/12,2,16,W,1,DMON,J,16,28,
PARC1SL,6/12/12,3,16,W,1,DMON,J,16,28,
PARC1SL,6/12/12,4,15,W,1,DMON,J,14,23,
PARC1SL,6/12/12,5,14,W,1,DMON,J,26,39,
PARC1SL,6/12/12,6,14,W,1,EBIS,L,15,27,
PARC1SL,6/12/12,7,18,W,1,DMON,J,16,28,
PARC1SL,6/12/12,8,4,W,2,EBIS,L,16,30,
PARC1SL,6/12/12,9,14,W,2,DMON,A,57,103,
PARC1SL,6/12/12,10,15,W,2,DMON,J,29,34,Stumpy tail
PARC1SL,6/12/12,11,7,W,2,DMON,J,14,26,
PARC1SL,6/12/12,12,9,W,2,DMON,J,15,28,
PARC1SL,6/12/12,13,15,W,2,DMON,A,64,125,
PARC1SL,6/12/12,14,9,W,2,EBIS,L,20,37,
PARC1SL,6/12/12,15,14,W,3,GPOR,L,40,69,
PARC1SL,6/12/12,16,14,W,3,EBIS,L,22,42,
PARC1SL,6/12/12,17,15,W,3,DMON,J,16,27,
PARC1SL,6/12/12,18,8,W,3,DMON,J,14,26,
PARC1SL,6/12/12,19,8,W,3,DMON,J,15,28,
PARC1SL,6/12/12,20,5,W,3,DMON,J,14,27,
PARU2,6/12/12,1,0,W,2,EBIS,L,13,24,
PARU2,6/12/12,2,0,W,1,EBIS,L,18,33,
PARU2,6/12/12,3,0,W,1,EBIS,L,18,33,
PARU2,6/12/12,4,0,W,2,DMON,J,13,25,Drowned
PARU2,6/12/12,5,10,W,2,DMON,A,52,104,
PARU2,6/12/12,6,10,W,2,EBIS,L,17,32,
PARU2,6/12/12,7,0,W,2,EBIS,L,16,27,
PARU2,6/12/12,8,0,W,1,EBIS,L,17,19,Stumpy tail
PARU2,6/12/12,9,0,W,3,EBIS,L,15,29,
PARU2,6/12/12,10,10,W,2,EBIS,L,21,40,
PARU2,6/12/12,11,10,W,2,EBIS,L,21,39,
PARU2,6/12/12,12,10,W,2,EBIS,L,25,50,
PARU2,6/12/12,13,10,W,2,EBIS,L,20,40,
PARU2,6/12/12,14,10,W,2,EBIS,L,25,50,
PARU2,6/12/12,15,10,W,2,EBIS,L,16,30,
PARU2,6/12/12,16,11,W,1,EBIS,L,17,32,
PARU2,6/12/12,17,10,W,1,EBIS,L,18,35,
PARU2,6/12/12,18,10,W,2,EBIS,L,20,38,
PARU2,6/12/12,19,10,W,1,EBIS,J,23,45,
PARU2,6/12/12,20,10,W,2,EBIS,L,18,37,
PARU2,6/12/12,21,10,W,1,EBIS,L,18,35,
PARU2,6/12/12,22,10,W,1,EBIS,L,19,38,
PARU2,6/12/12,23,10,W,1,EBIS,L,16,29,
PARU2,6/12/12,24,11,W,1,EBIS,L,18,33,
PARU2,6/12/12,25,10,W,1,EBIS,L,16,34,
PARU2,6/12/12,26,10,W,1,EBIS,L,21,43,
PARU2,6/12/12,27,10,W,1,EBIS,L,22,44,
PARU2,6/12/12,28,11,W,1,EBIS,L,16,30,
PARU2,6/12/12,29,10,W,1,EBIS,L,17,41,
PARU2,6/12/12,30,10,W,1,EBIS,L,15,32,
PARU2,6/12/12,31,10,W,1,EBIS,L,19,36,
PARU2,6/12/12,32,0,W,3,EBIS,L,18,36,
PARU2,6/12/12,33,10,W,1,EBIS,L,22,45,
PARU2,6/12/12,34,10,W,1,EBIS,L,17,35,
PARU2,6/12/12,35,11,W,1,EBIS,L,13,26,
PARU2,6/12/12,36,10,W,1,EBIS,L,14,30,
PARU2,6/12/12,37,10,W,3,EBIS,L,16,32,
PARU2,6/12/12,38,0,W,3,EBIS,L,16,37,
PARU2,6/12/12,39,11,W,1,EBIS,L,21,33,
PARU2,6/12/12,40,11,W,1,EBIS,L,15,29,
PARU2,6/12/12,41,10,W,3,EBIS,L,18,32,
PARU2,6/12/12,42,11,W,1,EBIS,L,23,47,
PARU2,6/12/12,43,11,W,1,GPOR,L,54,93,
PARU2,6/12/12,44,11,W,1,EBIS,L,19,44,
PARU2,6/12/12,45,10,W,3,EBIS,L,17,35,
PARU2,6/12/12,46,10,W,3,EBIS,L,17,34,
PARU2,6/12/12,47,11,W,1,EBIS,L,17,29,
PARU2,6/12/12,48,11,W,1,EBIS,L,23,45,
PARU2,6/12/12,49,10,W,3,EBIS,L,22,45,
PARU2,6/12/12,50,11,W,1,EBIS,L,21,42,
PARU2,6/12/12,51,11,W,1,EBIS,L,20,40,Tail tip gone
PARU2,6/12/12,52,10,W,3,EBIS,L,22,43,
PARU2,6/12/12,53,11,W,1,EBIS,J,21,41,
PARU2,6/12/12,54,10,W,3,EBIS,L,20,40,
PARU2,6/12/12,55,11,W,3,EBIS,L,20,35,
PARU2,6/12/12,56,11,W,3,EBIS,L,22,43,
PARU2,6/12/12,57,10,W,3,EBIS,L,19,32,
PARU2,6/12/12,58,11,W,3,EBIS,L,14,41,
PARU2,6/12/12,59,11,W,3,EBIS,L,16,36,
PARU2,6/12/12,60,11,W,3,EBIS,L,23,41,
PARU2,6/12/12,61,11,W,3,EBIS,L,16,29,
PARU2,6/12/12,62,10,W,3,EBIS,L,19,32,
PARU2,6/12/12,63,11,W,3,EBIS,L,20,45,
PARU2,6/12/12,64,11,W,3,EBIS,L,15,32,
PARU2,6/12/12,65,10,W,3,EBIS,J,23,44,
PARU2,6/12/12,66,11,W,3,EBIS,L,19,41,
PARU2,6/12/12,67,10,W,3,EBIS,L,21,41,
PARU2,6/12/12,68,10,W,3,EBIS,L,25,44,
PARU2,6/12/12,69,11,W,3,EBIS,L,18,37,
PARU2,6/12/12,70,10,W,3,DFUS,J,17,33,
PARU2,6/12/12,71,11,W,3,EBIS,L,8,18,
PARU2,6/12/12,72,4,W,2,EBIS,L,23,39,Tail tip and right hind foot gone
PARU2,6/12/12,73,1,W,2,EBIS,L,19,39,
PARU2,6/12/12,74,11,W,2,EBIS,L,14,27,
PARU2,6/12/12,75,4,W,2,GPOR,L,40,70,
PARU2,6/12/12,76,4,W,2,GPOR,L,18,29,
PARU2,6/12/12,77,4,W,2,EBIS,L,19,34,
PARU2,6/12/12,78,4,W,1,EBIS,J,20,27,Tail missing
PARU2,6/12/12,79,1,W,2,EBIS,L,14,24,
PARU2,6/12/12,80,4,W,1,EBIS,L,16,29,
PARU2,6/12/12,81,11,W,2,EBIS,L,20,34,
PARU2,6/12/12,82,4,W,1,GPOR,L,52,76,
PARU2,6/12/12,83,4,W,2,DFUS,J,24,39,"Rear right foot is clubfoot, regrown tail"
PARU2,6/12/12,84,4,W,1,EBIS,L,19,36,
PARU2,6/12/12,85,4,W,1,DMON,J,28,57,
BRC1WL,6/13/12,1,4,W,1,EBIS,L,22,38,
BRC1WL,6/13/12,2,4,W,1,DFUS,J,15,33,
BRC1WL,6/13/12,3,14,W,2,EBIS,L,17,33,
BRC1WL,6/13/12,4,15,W,2,EBIS,L,27,53,
BRC1WL,6/13/12,5,14,W,2,DMON,J,21,41,
BRC1WL,6/13/12,6,14,W,2,DFUS,J,18,35,
BRC1WL,6/13/12,7,14,W,2,DFUS,J,16,31,
BRC1WL,6/13/12,8,17,W,1,GPOR,L,58,99,
BRC1WL,6/13/12,9,18,W,1,DMON,J,17,33,
BRC1WL,6/13/12,10,16,W,1,DFUS,J,19,40,
BRC1WL,6/13/12,11,17,W,1,DFUS,J,19,38,
BRC1WL,6/13/12,12,14,W,1,DFUS,J,18,18,
BRC1WL,6/13/12,13,14,W,1,DFUS,J,22,45,
BRC1WL,6/13/12,14,14,W,1,DFUS,J,17,18,
BRC1WL,6/13/12,15,18,W,1,DMON,J,21,43,
BRC1WL,6/13/12,16,15,W,3,EBIS,L,21,41,
BRC1WL,6/13/12,17,16,W,3,EBIS,L,16,30,
BRC1WL,6/13/12,18,15,W,3,EBIS,L,21,40,
BRC1WL,6/13/12,19,7,W,3,DMON,J,18,32,
BRC1WL,6/13/12,20,16,W,3,DFUS,J,17,35,
BRC1WL,6/13/12,21,16,W,3,DFUS,J,18,22,Missing it's tail
BRC1WL,6/13/12,22,17,W,3,GPOR,J,60,110,
BRC1WL,6/13/12,23,18,W,3,DFUS,J,18,32,
MRC2SU,6/14/12,1,16,W,2,DFUS,J,15,30,
MRC2SU,6/14/12,2,15,W,1,DFUS,J,15,30,
MRC2SU,6/14/12,3,16,W,2,EBIS,L,17,23,
MRC2SU,6/14/12,4,4,W,1,DFUS,J,24,49,
MRC2SU,6/14/12,5,6,W,1,EBIS,L,20,41,
MRC2SU,6/14/12,6,16,W,2,EBIS,L,16,32,
MRC2SU,6/14/12,7,20,W,2,EBIS,L,21,43,
MRC2SU,6/14/12,8,5,W,3,EBIS,L,21,46,
MRC2SU,6/14/12,9,5,W,3,GPOR,L,42,83,
MRC2SU,6/14/12,10,21,W,2,DFUS,J,17,32,
MRC2SU,6/14/12,11,14,W,1,DMON,A,38,80,
MRC2SU,6/14/12,12,5,W,2,GPOR,L,46,93,
MRC2SU,6/14/12,13,5,W,1,GPOR,L,44,87,
MRC2SU,6/14/12,14,14,W,2,EBIS,L,14,28,
MRC2SU,6/14/12,15,14,W,2,EBIS,L,19,40,
MRC2SU,6/14/12,16,4,W,2,GPOR,L,44,87,
MRC2SU,6/14/12,17,4,W,3,GPOR,L,52,101,
MRC2SU,6/14/12,18,6,W,1,EBIS,L,16,36,
