Date,Stream,Transect,Visit,Section,Bankfull,S/C,Sand,Gravel,Cobble,Boulder,Debris,
2018-06-20,ELKLICK,1,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-20,ELKLICK,2,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-20,ELKLICK,2,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-20,ELKLICK,2,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-21,ELKLICK,3,1,0,3.3,0,0,22,3,0,0,
2018-06-21,ELKLICK,3,1,12.5,3.3,0,2,11,6,0,6,
2018-06-21,ELKLICK,3,1,25,4.3,0,0,8,7,2,8,
2018-06-21,MILL,1,1,0,2.0,0,6,0,0,13,6,
2018-06-21,MILL,1,1,12.5,0.8,0,18,0,0,0,7,
2018-06-21,MILL,1,1,25,1.4,0,17,0,3,3,2,
2018-06-25,BLUELICK,1D,1,0,3.4,9,1,4,8,0,3,
2018-06-25,BLUELICK,1D,1,12.5,3.2,1,0,5,16,0,3,
2018-06-25,BLUELICK,1D,1,25,1.9,0,2,7,16,0,0,
2018-06-25,WSHALEN,1,1,0,2.0,0,20,0,0,0,5,
2018-06-25,WSHALEN,1,1,12.5,5.7,0,18,0,0,0,7,
2018-06-25,WSHALEN,1,1,25,1.3,0,22,0,0,0,3,
2018-06-26,BLUELICK,1D,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,BLUELICK,1D,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,BLUELICK,1D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,BLUELICK,1U,1,0,2.2,8,1,0,11,3,2,
2018-06-26,BLUELICK,1U,1,12.5,1.5,0,2,8,6,9,0,
2018-06-26,BLUELICK,1U,1,25,1.1,2,1,9,8,5,0,
2018-06-26,ELKLICK,3,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,ELKLICK,3,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,ELKLICK,3,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,MILL,1,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,MILL,1,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-26,MILL,1,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-28,KOCH,1D,1,0,4.7,0,11,0,4,5,5,
2018-06-28,KOCH,1D,1,12.5,9.5,0,17,0,1,0,7,
2018-06-28,KOCH,1D,1,25,3.8,0,17,0,0,0,8,
2018-06-28,KOCH,1U,1,0,5.8,0,8,1,6,10,0,
2018-06-28,KOCH,1U,1,12.5,7.3,0,4,11,9,1,0,
2018-06-28,KOCH,1U,1,25,4.2,0,8,6,8,3,0,
2018-06-28,KOCH,2D,1,0,3.7,0,3,0,2,0,20,
2018-06-28,KOCH,2D,1,12.5,3.6,0,4,3,8,10,0,
2018-06-28,KOCH,2D,1,25,3.7,0,18,0,0,0,7,
2018-06-28,KOCH,2U,1,0,NA,0,2,0,23,0,0,
2018-06-28,KOCH,2U,1,12.5,6.9,0,2,0,4,19,0,
2018-06-28,KOCH,2U,1,25,3.3,0,15,0,6,4,0,
2018-06-28,KOCH,3D,1,0,3.5,0,4,15,0,3,3,
2018-06-28,KOCH,3D,1,12.5,2.0,0,22,0,0,3,0,
2018-06-28,KOCH,3D,1,25,1.9,0,2,13,4,3,3,
2018-06-28,KOCH,4D,1,0,3.7,0,25,0,0,0,0,
2018-06-28,KOCH,4D,1,12.5,2.6,0,3,22,0,0,0,
2018-06-28,KOCH,4D,1,25,3.4,0,4,21,0,0,0,
2018-06-28,KOCH,5D,1,0,4.2,0,16,0,6,0,3,
2018-06-28,KOCH,5D,1,12.5,3.8,0,9,0,13,2,1,
2018-06-28,KOCH,5D,1,25,3.7,0,16,2,3,0,4,
2018-06-29,BLUELICK,1U,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-29,BLUELICK,1U,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-29,BLUELICK,1U,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-06-29,MILL,1,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-06-29,MILL,1,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-06-29,MILL,1,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-03,BLUELICK,1D,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-03,BLUELICK,1D,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-03,BLUELICK,1D,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-03,BLUELICK,1U,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-03,BLUELICK,1U,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-03,BLUELICK,1U,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,3D,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,3D,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,3D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,4D,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,4D,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,4D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,5D,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,5D,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-05,KOCH,5D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,2D,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,2D,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,2D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,3D,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,3D,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,3D,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,4D,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,4D,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,4D,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,5D,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,5D,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-09,KOCH,5D,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,1D,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,1D,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,1D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,1U,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,1U,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,1U,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,2D,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,2D,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,2D,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,2U,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,2U,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,2U,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,3D,4,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,3D,4,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,3D,4,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,4D,4,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,4D,4,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,4D,4,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,5D,4,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,5D,4,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-10,KOCH,5D,4,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,1D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,1D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,1D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,2D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,2D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,2D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,3D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,3D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,3D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,4D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,4D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,4D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,5D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,5D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-12,ALEX,5D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,3D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,3D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,3D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,4D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,4D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,4D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,5D,1,0,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,5D,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-07-16,DUNGHILL,5D,1,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-18,DUNGHILL,1D,1,0,NA,0,8,0,0,17,0,
2018-07-18,DUNGHILL,1D,1,12.5,3.6,0,15,0,6,4,0,
2018-07-18,DUNGHILL,1D,1,25,3.0,0,19,0,0,6,0,
2018-07-18,DUNGHILL,2D,1,0,4.4,0,11,0,0,4,10,
2018-07-18,DUNGHILL,2D,1,12.5,5.0,0,0,0,0,24,1,
2018-07-18,DUNGHILL,2D,1,25,3.3,9,14,0,0,0,2,
2018-07-18,DUNGHILL,3D,2,0,NA,0,8,0,7,10,0,
2018-07-18,DUNGHILL,3D,2,12.5,NA,0,7,0,2,16,0,
2018-07-18,DUNGHILL,3D,2,25,NA,0,20,0,0,5,0,
2018-07-18,DUNGHILL,4D,2,0,NA,0,1,0,0,23,1,
2018-07-18,DUNGHILL,4D,2,12.5,NA,0,3,0,0,16,6,
2018-07-18,DUNGHILL,4D,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-07-18,DUNGHILL,5D,2,0,NA,0,5,0,0,19,1,
2018-07-18,DUNGHILL,5D,2,12.5,NA,0,3,0,0,18,4,
2018-07-18,DUNGHILL,5D,2,25,NA,0,15,0,0,4,6,
2018-08-06,ELKLICK,4,1,0,3.7,0,0,6,19,0,0,
2018-08-06,ELKLICK,4,1,12.5,3.4,0,0,10,9,4,2,
2018-08-06,ELKLICK,4,1,25,4.6,0,0,12,5,8,0,
2018-08-06,ELKLICK,5,1,0,3.2,0,0,5,4,16,0,
2018-08-06,ELKLICK,5,1,12.5,3.7,7,0,0,9,2,7,
2018-08-06,ELKLICK,5,1,25,2.0,0,0,8,2,15,0,
2018-08-07,ELKLICK,4,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-08-07,ELKLICK,4,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-08-07,ELKLICK,4,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-08-08,ELKLICK,4,3,0,NA,NA,NA,NA,NA,NA,NA,
2018-08-08,ELKLICK,4,3,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-08-08,ELKLICK,4,3,25,NA,NA,NA,NA,NA,NA,NA,
2018-08-08,ELKLICK,5,2,0,NA,NA,NA,NA,NA,NA,NA,
2018-08-08,ELKLICK,5,2,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-08-08,ELKLICK,5,2,25,NA,NA,NA,NA,NA,NA,NA,
2018-08-10,BEARHILL,1D,1,0,6.0,0,15,3,0,0,7,
2018-08-10,BEARHILL,1D,1,12.5,4.4,0,12,8,4,1,0,
2018-08-10,BEARHILL,1D,1,25,4.4,0,4,14,7,0,0,
2018-08-10,BEARHILL,1U,1,0,4.6,3,0,21,1,0,0,
2018-08-10,BEARHILL,1U,1,12.5,NA,NA,NA,NA,NA,NA,NA,
2018-08-10,BEARHILL,1U,1,25,3.6,0,5,15,5,0,0,
2018-08-10,BEARHILL,2D,1,0,4.4,0,8,2,8,7,0,
2018-08-10,BEARHILL,2D,1,12.5,NA,0,25,0,0,0,0,
2018-08-10,BEARHILL,2D,1,25,3.7,0,7,15,3,0,0,
2018-08-10,BEARHILL,2U,1,0,4.7,3,20,0,1,0,1,
2018-08-10,BEARHILL,2U,1,12.5,5.4,0,0,24,1,0,0,
2018-08-10,BEARHILL,2U,1,25,4.9,0,3,14,0,0,8,
2018-08-10,BEARHILL,3D,1,0,5.3,0,22,0,3,0,0,
2018-08-10,BEARHILL,3D,1,12.5,5.3,0,2,17,4,2,0,
2018-08-10,BEARHILL,3D,1,25,5.1,0,8,13,4,0,0,
2018-08-10,BEARHILL,4D,1,0,6.9,0,2,20,3,0,0,
2018-08-10,BEARHILL,4D,1,12.5,5.0,0,0,19,6,0,0,
2018-08-10,BEARHILL,4D,1,25,4.0,0,1,17,4,3,0,
2018-08-10,BEARHILL,5D,1,0,5.3,4,0,0,18,0,3,
2018-08-10,BEARHILL,5D,1,12.5,5.3,10,3,9,0,3,0,
2018-08-10,BEARHILL,5D,1,25,5.7,9,2,0,7,7,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
